src_ip,dst_ip,src_port,dst_port,src_mac,dst_mac,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.50.6,172.217.10.226,54914,443,b8:ca:3a:7b:97:d6,70:f3:5a:42:73:e8,6,2018-11-03 09:25:23,80812.0,4702.271939810919,61.87199920803842,37.12319952482305,24.748799683215367,3,2,260,120,100.0,60.0,86.66666666666667,18.856180831641264,60.0,60.0,60.0,0.0,100,60,76.0,19.595917942265423,384.0,60,40,20,3,20203.0,80703.0,2.0,34929.71586629356,106.0,104.0,2.0,53.0,51.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.6666666666666666,76.0,255,395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.66666666666667,60.0,0,3,2,260,120
4.2.2.4,192.168.50.6,53,55836,70:f3:5a:42:73:e8,b8:ca:3a:7b:97:d6,17,2018-11-03 09:25:23,2.0,117000000.0,1000000.0,1000000.0,0.0,2,0,234,0,117.0,117.0,117.0,0.0,0.0,0.0,0.0,0.0,117,117,117.0,0.0,0.0,16,0,8,2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,117.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,0.0,0,2,0,234,0
4.2.2.4,192.168.50.6,53,62978,70:f3:5a:42:73:e8,b8:ca:3a:7b:97:d6,17,2018-11-03 09:25:23,1.0,260000000.0,2000000.0,2000000.0,0.0,2,0,260,0,130.0,130.0,130.0,0.0,0.0,0.0,0.0,0.0,130,130,130.0,0.0,0.0,16,0,8,2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,130.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,0.0,0,2,0,260,0
4.2.2.4,192.168.50.6,53,62005,70:f3:5a:42:73:e8,b8:ca:3a:7b:97:d6,17,2018-11-03 09:25:23,3.0,89333333.33333333,666666.6666666666,666666.6666666666,0.0,2,0,268,0,134.0,134.0,134.0,0.0,0.0,0.0,0.0,0.0,134,134,134.0,0.0,0.0,16,0,8,2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,134.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,0,2,0,268,0
192.168.50.6,4.2.2.4,55466,53,b8:ca:3a:7b:97:d6,70:f3:5a:42:73:e8,17,2018-11-03 09:25:23,21119.0,21402.52852881292,189.4029073346276,94.7014536673138,94.7014536673138,2,2,170,282,85.0,85.0,85.0,0.0,141.0,141.0,141.0,0.0,141,85,113.0,28.0,784.0,16,16,8,2,7039.666666666667,21112.0,3.0,9950.64233549216,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,113.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,141.0,0,2,2,170,282
192.168.50.6,4.2.2.4,63782,53,b8:ca:3a:7b:97:d6,70:f3:5a:42:73:e8,17,2018-11-03 09:25:23,21368.0,17596.40584050917,187.19580681392736,93.59790340696368,93.59790340696368,2,2,132,244,66.0,66.0,66.0,0.0,122.0,122.0,122.0,0.0,122,66,94.0,28.0,784.0,16,16,8,2,7122.666666666667,21362.0,3.0,10068.729159575645,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,94.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,122.0,0,2,2,132,244
192.168.50.6,4.2.2.4,56497,53,b8:ca:3a:7b:97:d6,70:f3:5a:42:73:e8,17,2018-11-03 09:25:23,21235.0,20814.69272427596,188.36825994819873,94.18412997409936,94.18412997409936,2,2,140,302,70.0,70.0,70.0,0.0,151.0,151.0,151.0,0.0,151,70,110.5,40.5,1640.25,16,16,8,2,7078.333333333333,21217.0,1.0,9997.549210792724,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,110.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,151.0,0,2,2,140,302
192.168.50.6,4.2.2.4,61026,53,b8:ca:3a:7b:97:d6,70:f3:5a:42:73:e8,17,2018-11-03 09:25:23,21112.0,21314.89200454718,189.46570670708604,94.73285335354302,94.73285335354302,2,2,150,300,75.0,75.0,75.0,0.0,150.0,150.0,150.0,0.0,150,75,112.5,37.5,1406.25,16,16,8,2,7037.333333333333,21106.0,1.0,9948.049736282765,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,112.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,150.0,0,2,2,150,300
192.168.50.6,4.2.2.4,64457,53,b8:ca:3a:7b:97:d6,70:f3:5a:42:73:e8,17,2018-11-03 09:25:23,21106.0,25964.18080166777,189.5195678953852,94.7597839476926,94.7597839476926,2,2,146,402,73.0,73.0,73.0,0.0,201.0,201.0,201.0,0.0,201,73,137.0,64.0,4096.0,16,16,8,2,7035.333333333333,21101.0,2.0,9945.92829028822,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,137.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,201.0,0,2,2,146,402
192.168.50.6,4.2.2.4,56385,53,b8:ca:3a:7b:97:d6,70:f3:5a:42:73:e8,17,2018-11-03 09:25:23,111913.0,3645.689062039263,35.74204962783591,17.871024813917955,17.871024813917955,2,2,146,262,73.0,73.0,73.0,0.0,131.0,131.0,131.0,0.0,131,73,102.0,29.0,841.0,16,16,8,2,37304.333333333336,111885.0,2.0,52736.49605559912,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,102.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,131.0,0,2,2,146,262
192.168.50.6,4.2.2.4,61997,53,b8:ca:3a:7b:97:d6,70:f3:5a:42:73:e8,17,2018-11-03 09:25:23,21254.0,25783.381951632637,188.19986826009222,94.09993413004611,94.09993413004611,2,2,146,402,73.0,73.0,73.0,0.0,201.0,201.0,201.0,0.0,201,73,137.0,64.0,4096.0,16,16,8,2,7084.666666666667,21248.0,3.0,10014.989044205468,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,137.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,201.0,0,2,2,146,402
192.168.50.6,8.8.8.8,56385,53,b8:ca:3a:7b:97:d6,70:f3:5a:42:73:e8,17,2018-11-03 09:25:23,45874.0,8893.926843091947,87.1953612067838,43.5976806033919,43.5976806033919,2,2,146,262,73.0,73.0,73.0,0.0,131.0,131.0,131.0,0.0,131,73,102.0,29.0,841.0,16,16,8,2,15291.333333333334,45868.0,3.0,21620.968346080666,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,102.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,131.0,0,2,2,146,262
192.168.50.6,4.2.2.4,53900,53,b8:ca:3a:7b:97:d6,70:f3:5a:42:73:e8,17,2018-11-03 09:25:23,21273.0,34785.878813519485,188.03177737037558,94.01588868518779,94.01588868518779,2,2,146,594,73.0,73.0,73.0,0.0,297.0,297.0,297.0,0.0,297,73,185.0,112.0,12544.0,16,16,8,2,7091.0,21267.0,3.0,10023.945730100497,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,185.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,297.0,0,2,2,146,594
74.208.236.171,192.168.50.6,80,54897,70:f3:5a:42:73:e8,b8:ca:3a:7b:97:d6,6,2018-11-03 09:25:24,4096456.0,64.44595035318333,0.9764537932300505,0.9764537932300505,0.0,4,0,264,0,66.0,66.0,66.0,0.0,0.0,0.0,0.0,0.0,66,66,66.0,0.0,0.0,80,0,20,0,1365485.3333333333,4096452.0,1.0,1931085.0491945944,4096456.0,4096452.0,1.0,1365485.3333333333,1931085.0491945944,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,66.0,29200,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0,4,0,264,0
74.208.236.171,192.168.50.6,80,54896,70:f3:5a:42:73:e8,b8:ca:3a:7b:97:d6,6,2018-11-03 09:25:24,4096453.9999999995,64.44598181744504,0.9764542699612886,0.9764542699612886,0.0,4,0,264,0,66.0,66.0,66.0,0.0,0.0,0.0,0.0,0.0,66,66,66.0,0.0,0.0,80,0,20,0,1365484.6666666667,4096452.0,1.0,1931085.5205989424,4096454.0,4096452.0,1.0,1365484.6666666667,1931085.5205989424,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,66.0,29200,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0,4,0,264,0
74.208.236.171,192.168.50.6,80,54895,70:f3:5a:42:73:e8,b8:ca:3a:7b:97:d6,6,2018-11-03 09:25:24,4096275.9999999995,64.44878225978914,0.9764967009058961,0.9764967009058961,0.0,4,0,264,0,66.0,66.0,66.0,0.0,0.0,0.0,0.0,0.0,66,66,66.0,0.0,0.0,80,0,20,0,1365425.3333333333,4096272.0,1.0,1931000.196380852,4096276.0,4096272.0,1.0,1365425.3333333333,1931000.196380852,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,66.0,29200,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0,4,0,264,0
74.208.236.171,192.168.50.6,80,54903,70:f3:5a:42:73:e8,b8:ca:3a:7b:97:d6,6,2018-11-03 09:25:24,4096269.0000000005,64.44889239451803,0.9764983696139096,0.9764983696139096,0.0,4,0,264,0,66.0,66.0,66.0,0.0,0.0,0.0,0.0,0.0,66,66,66.0,0.0,0.0,80,0,20,0,1365423.0,4096267.0,1.0,1930998.310762596,4096269.0,4096267.0,1.0,1365423.0,1930998.310762596,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,66.0,29200,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0,4,0,264,0
74.208.236.171,192.168.50.6,80,54900,70:f3:5a:42:73:e8,b8:ca:3a:7b:97:d6,6,2018-11-03 09:25:24,4096274.0,64.44881372681613,0.9764971776790322,0.9764971776790322,0.0,4,0,264,0,66.0,66.0,66.0,0.0,0.0,0.0,0.0,0.0,66,66,66.0,0.0,0.0,80,0,20,0,1365424.6666666667,4096272.0,1.0,1931000.6677852,4096274.0,4096272.0,1.0,1365424.6666666667,1931000.6677852,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,66.0,29200,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0,4,0,264,0
74.208.236.171,192.168.50.6,80,54902,70:f3:5a:42:73:e8,b8:ca:3a:7b:97:d6,6,2018-11-03 09:25:24,4099987.9999999995,64.39043236224106,0.9756126115491071,0.9756126115491071,0.0,4,0,264,0,66.0,66.0,66.0,0.0,0.0,0.0,0.0,0.0,66,66,66.0,0.0,0.0,80,0,20,0,1366662.6666666667,4099984.0,1.0,1932750.0499620282,4099988.0,4099984.0,1.0,1366662.6666666667,1932750.0499620282,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,66.0,29200,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0,4,0,264,0
74.208.236.171,192.168.50.6,80,54898,70:f3:5a:42:73:e8,b8:ca:3a:7b:97:d6,6,2018-11-03 09:25:24,4096259.0,64.449049730498,0.976500753492394,0.976500753492394,0.0,4,0,264,0,66.0,66.0,66.0,0.0,0.0,0.0,0.0,0.0,66,66,66.0,0.0,0.0,80,0,20,0,1365419.6666666667,4096255.0,1.0,1930992.1825039985,4096259.0,4096255.0,1.0,1365419.6666666667,1930992.1825039985,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,66.0,29200,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0,4,0,264,0
74.208.236.171,192.168.50.6,80,54899,70:f3:5a:42:73:e8,b8:ca:3a:7b:97:d6,6,2018-11-03 09:25:24,4096249.0000000005,64.44920706724615,0.9765031373825175,0.9765031373825175,0.0,4,0,264,0,66.0,66.0,66.0,0.0,0.0,0.0,0.0,0.0,66,66,66.0,0.0,0.0,80,0,20,0,1365416.3333333333,4096168.0,1.0,1930933.0215058099,4096248.9999999995,4096167.9999999995,1.0,1365416.3333333333,1930933.0215058094,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,66.0,29200,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0,4,0,264,0
74.208.236.171,192.168.50.6,80,54901,70:f3:5a:42:73:e8,b8:ca:3a:7b:97:d6,6,2018-11-03 09:25:24,4096173.0000000005,64.45040285163736,0.9765212553278388,0.9765212553278388,0.0,4,0,264,0,66.0,66.0,66.0,0.0,0.0,0.0,0.0,0.0,66,66,66.0,0.0,0.0,80,0,20,0,1365391.0,4096171.0,1.0,1930953.0559286003,4096173.0,4096171.0,1.0,1365391.0,1930953.0559286003,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,66.0,29200,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0,4,0,264,0
74.208.236.171,192.168.50.6,80,54904,70:f3:5a:42:73:e8,b8:ca:3a:7b:97:d6,6,2018-11-03 09:25:24,4223880.0,62.50177561862552,0.9469966002822049,0.9469966002822049,0.0,4,0,264,0,66.0,66.0,66.0,0.0,0.0,0.0,0.0,0.0,66,66,66.0,0.0,0.0,80,0,20,0,1407960.0,4223873.0,3.0,1991151.1775313965,4223880.0,4223873.0,3.0,1407960.0,1991151.1775313965,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,66.0,29200,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0,4,0,264,0
